PRODUCT ID,CHAIR TYPE,WOOD,LENGTH(INCHES),WIDTH(INCHES),HEIGHT(INCHES),WOOD PRICE(PER CUBIC),QUANTITY OF WOOD USED(IN CUBIC),LABOUR CHARGE,PRICE
IRI277,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,773,5573
ELQ539,BAR CHAIR,TEAK,18,18,28,1400,1.5,516,2616
MEI548,DINING CHAIR,TEAK,34,18,16,1400,2,568,3368
HFH347,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2033,9233
RNH631,BAR CHAIR,ACACIA,18,18,28,800,1.5,568,1768
PLN826,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1524,8724
TQR820,ARM CHAIR,ACACIA,35,35,36,800,3,1536,3936
GRF328,DINING CHAIR,ACACIA,34,18,16,800,2,574,2174
SYR339,DINING CHAIR,TEAK,34,18,16,1400,2,612,3412
OHA869,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1120,3120
ZNO579,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1386,3786
OJS658,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1970,4370
BIE308,ARM CHAIR,TEAK,35,35,36,1400,3,1720,5920
CCV621,ARM CHAIR,TEAK,35,35,36,1400,3,2046,6246
XXH499,BAR CHAIR,TEAK,18,18,28,1400,1.5,610,2710
KSD200,ROCKING CHAIR,ACACIA,25,25,45,800,3,1317,3717
RPR179,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,924,4424
DPT306,ARM CHAIR,TEAK,35,35,36,1400,3,1823,6023
CMN734,ARM CHAIR,TEAK,35,35,36,1400,3,1588,5788
WBW652,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1996,4396
WYY234,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1566,3966
ZZC387,RECLINER CHAIR,TEAK,48,26,28,1400,3,1901,6101
QQX866,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1523,8723
YLD561,DINING CHAIR,ACACIA,34,18,16,800,2,792,2392
KNR199,ROCKING CHAIR,TEAK,25,25,45,1400,3,1361,5561
MXP327,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,983,6983
YSY819,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,632,4232
CVH764,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,675,4275
MCO726,ROCKING CHAIR,ACACIA,25,25,45,800,3,1280,3680
QOK743,DINING CHAIR,ACACIA,34,18,16,800,2,502,2102
KTQ810,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1418,3818
RZV778,DINING CHAIR,MAHAGONY,34,18,16,800,2,605,2205
QJF954,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,925,2925
ZKW256,ROCKING CHAIR,ACACIA,25,25,45,800,3,1497,3897
ZSV960,ARM CHAIR,MAHAGONY,35,35,36,800,3,1714,4114
CZE654,DINING CHAIR,ACACIA,34,18,16,800,2,652,2252
WDA531,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,590,5390
WON255,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,666,4266
ICF369,DINING CHAIR,MAHAGONY,34,18,16,800,2,739,2339
ZDL836,ARM CHAIR,TEAK,35,35,36,1400,3,1587,5787
VKN848,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,931,2931
ZLA571,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,689,5489
LGE197,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1106,4606
ZCL293,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1888,9088
GQR766,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1199,3199
FRE450,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1404,8604
IGD984,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2191,9391
SBR894,ARM CHAIR,MAHAGONY,35,35,36,800,3,2052,4452
SSW490,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1082,3082
HTF842,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,555,5355
WWH777,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1407,3807
AVF143,DINING CHAIR,TEAK,34,18,16,1400,2,736,3536
YED220,RECLINER CHAIR,ACACIA,48,26,28,800,3,1920,4320
GDE499,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1161,3161
MEH977,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1630,8830
KED162,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1780,8980
QAF511,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1262,3662
UXK483,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1158,4658
DLJ524,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,679,1879
WSB636,RECLINER CHAIR,ACACIA,48,26,28,800,3,1707,4107
CCJ837,ROCKING CHAIR,TEAK,25,25,45,1400,3,1346,5546
JDF179,RECLINER CHAIR,TEAK,48,26,28,1400,3,1871,6071
ZSR428,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1006,4506
EYI807,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1032,7032
OAY949,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1532,3932
GPR213,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,931,2931
AHG231,ARM CHAIR,MAHAGONY,35,35,36,800,3,1911,4311
KOW520,BAR CHAIR,TEAK,18,18,28,1400,1.5,506,2606
YZC421,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1634,8834
IKZ332,ROCKING CHAIR,ACACIA,25,25,45,800,3,1531,3931
LSQ125,DINING CHAIR,MAHAGONY,34,18,16,800,2,524,2124
VTL664,ROCKING CHAIR,ACACIA,25,25,45,800,3,1436,3836
OTL643,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,695,1895
AXW366,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1042,3042
QYP923,DINING CHAIR,MAHAGONY,34,18,16,800,2,522,2122
JVT833,ROCKING CHAIR,ACACIA,25,25,45,800,3,1404,3804
RPH121,DINING CHAIR,ACACIA,34,18,16,800,2,591,2191
IAE409,BAR CHAIR,TEAK,18,18,28,1400,1.5,535,2635
FGR376,ARM CHAIR,ACACIA,35,35,36,800,3,1857,4257
IGA293,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1032,3032
KBO395,BAR CHAIR,ACACIA,18,18,28,800,1.5,670,1870
QUH390,BAR CHAIR,TEAK,18,18,28,1400,1.5,624,2724
IDB336,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1008,3008
FJK362,BAR CHAIR,TEAK,18,18,28,1400,1.5,566,2666
YRU259,DINING CHAIR,ACACIA,34,18,16,800,2,506,2106
UCH651,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1551,8751
UKH681,ARM CHAIR,TEAK,35,35,36,1400,3,1648,5848
XEH788,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1379,8579
RWB648,ARM CHAIR,MAHAGONY,35,35,36,800,3,1894,4294
LXZ940,DINING CHAIR,TEAK,34,18,16,1400,2,636,3436
XAX158,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,688,1888
NDB748,RECLINER CHAIR,TEAK,48,26,28,1400,3,1706,5906
TNW311,DINING CHAIR,ACACIA,34,18,16,800,2,502,2102
NUP914,ARM CHAIR,TEAK,35,35,36,1400,3,2067,6267
JJE130,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1028,7028
TZT244,ROCKING CHAIR,ACACIA,25,25,45,800,3,1459,3859
ENQ611,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2138,9338
LZM559,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1107,4607
QZW940,ARM CHAIR,MAHAGONY,35,35,36,800,3,1508,3908
PCQ418,DINING CHAIR,ACACIA,34,18,16,800,2,611,2211
REE899,ROCKING CHAIR,ACACIA,25,25,45,800,3,1248,3648
MPD101,RECLINER CHAIR,ACACIA,48,26,28,800,3,1928,4328
VQI149,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1625,8825
VCW716,ARM CHAIR,ACACIA,35,35,36,800,3,1517,3917
KGV306,RECLINER CHAIR,TEAK,48,26,28,1400,3,1927,6127
WLB937,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1033,3033
KGM955,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1969,9169
DAJ441,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1174,3174
JKY990,DINING CHAIR,ACACIA,34,18,16,800,2,597,2197
OLZ407,RECLINER CHAIR,ACACIA,48,26,28,800,3,1933,4333
GVE902,DINING CHAIR,ACACIA,34,18,16,800,2,574,2174
VOT353,RECLINER CHAIR,ACACIA,48,26,28,800,3,1856,4256
LQZ549,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,916,4416
MKQ845,DINING CHAIR,TEAK,34,18,16,1400,2,651,3451
UFE194,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1469,3869
IUE280,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1251,8451
BQN489,DINING CHAIR,TEAK,34,18,16,1400,2,606,3406
BUI471,RECLINER CHAIR,TEAK,48,26,28,1400,3,1851,6051
EJM906,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1813,9013
PGC982,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1585,3985
OKM516,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,553,4153
BUE324,DINING CHAIR,ACACIA,34,18,16,800,2,525,2125
MUC764,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1950,4350
XEV312,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,928,2928
AMK373,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1724,4124
IEL541,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1345,8545
WIE467,BAR CHAIR,ACACIA,18,18,28,800,1.5,553,1753
FQK917,RECLINER CHAIR,TEAK,48,26,28,1400,3,1994,6194
SWI714,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,554,5354
YIP383,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1179,3179
BNR984,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1418,3818
LVW907,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1700,4100
JNI353,DINING CHAIR,ACACIA,34,18,16,800,2,744,2344
HNI912,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,552,4152
DJR602,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1383,8583
IYA614,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1127,4627
MRM148,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1726,8926
PEQ735,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1165,3165
XKF419,DINING CHAIR,ACACIA,34,18,16,800,2,525,2125
